run_id,seed,beta,observation_percentage,clean_observation_length,noise_mode,noise_rate,noisy_observation_length,dropped_actions,corrupted_actions,inserted_actions,true_goal,predicted_goal,top1_correct,true_goal_rank,true_goal_probability
1,7,1.0,0.25,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,0.18773794577580682
1,7,0.25,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,0.1685559914644342
1,7,0.5,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,0.13574040712893606
1,7,1.0,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,0.07629314247787525
1,7,2.0,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,0.01538764411517674
1,7,5.0,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,4.508997465800174e-05
1,7,10.0,0.25,1,mixed,0.1,2,0,1,1,G3_visit_admin_office,G2_study_at_library,False,3,2.0610600377131253e-09
1,7,0.1,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.25,1,mixed,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,none,0.0,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,missing,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,missing,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,missing,0.3,0,1,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,corrupt,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,corrupt,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
