beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
1.0,0.25,missing,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.8,0.2,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
2.0,0.25,missing,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.8,0.2,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
5.0,0.25,missing,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.8,0.2,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
10.0,0.25,missing,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.8,0.2,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.1,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.25,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.5,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
1.0,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
2.0,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
5.0,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
10.0,0.25,missing,0.3,50,0.2,3.08,1.440521447537775,0.2,0.0,0.68,0.32,0.0,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.1,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19975475891551614,0.0017341163386408386,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.25,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19937111982928868,0.004446854332637261,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.5,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19871480814257872,0.009087678775083211,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
1.0,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.1975258628495575,0.0174947915666345,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
2.0,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19630775288230354,0.02610812974739656,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
5.0,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19600090179949314,0.028277894562093054,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
10.0,0.25,mixed,0.1,50,0.2,3.08,1.440521447537775,0.19600000004122123,0.028284270955983997,0.96,0.18,0.02,0.14,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.1,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.25,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.5,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
1.0,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
2.0,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
5.0,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
10.0,0.25,mixed,0.2,50,0.2,3.08,1.440521447537775,0.2,0.0,0.76,0.46,0.02,0.22,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.1,0.25,mixed,0.3,50,0.2,3.02,1.4212670403551895,0.20048813669530458,0.0034516476739584563,0.7,0.48,0.02,0.18,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.25,0.25,mixed,0.3,50,0.2,3.02,1.4212670403551895,0.20123616137776948,0.008740980928617114,0.7,0.48,0.02,0.18,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.5,0.25,mixed,0.3,50,0.2,3.02,1.4212670403551895,0.20244404982644806,0.01728204205839217,0.7,0.48,0.02,0.18,0.08912565670994935,0.3108743432900507,0.11087434329005068
